iteration,epoch,mode,loss,value
0,0,val,render,0.33636099100112915
0,0,val,total,0.33636099100112915
100,0,train,eikonal,0.004124286584556103
100,0,train,render,1.166520118713379
100,0,train,total,1.1669325828552246
200,0,train,eikonal,0.0028770212084054947
200,0,train,render,1.2531837224960327
200,0,train,total,1.2534713745117188
300,1,train,eikonal,0.000920405553188175
300,1,train,render,1.1494836807250977
300,1,train,total,1.1495757102966309
400,1,train,eikonal,0.013128893449902534
400,1,train,render,0.9059768915176392
400,1,train,total,0.9072898030281067
500,1,train,eikonal,0.018416332080960274
500,1,train,render,1.1731131076812744
500,1,train,total,1.1749547719955444
600,2,train,eikonal,0.048238810151815414
600,2,train,render,0.5103963613510132
600,2,train,total,0.5152202248573303
700,2,train,eikonal,0.06692730635404587
700,2,train,render,0.5747547149658203
700,2,train,total,0.581447422504425
800,2,train,eikonal,0.0688217505812645
800,2,train,render,0.20182161033153534
800,2,train,total,0.20870378613471985
0,0,val,render,0.33636099100112915
0,0,val,total,0.33636099100112915
100,0,train,eikonal,0.004115051589906216
100,0,train,render,1.1837745904922485
100,0,train,total,1.1841861009597778
200,0,train,eikonal,0.0028947077225893736
200,0,train,render,1.3164077997207642
200,0,train,total,1.3166972398757935
300,1,train,eikonal,0.0002694551949389279
300,1,train,render,1.3615481853485107
300,1,train,total,1.3615751266479492
400,1,train,eikonal,0.006454737391322851
400,1,train,render,1.2780996561050415
400,1,train,total,1.278745174407959
500,1,train,eikonal,0.010356005281209946
500,1,train,render,1.1984410285949707
500,1,train,total,1.1994765996932983
600,2,train,eikonal,0.04835996776819229
600,2,train,render,0.5100948810577393
600,2,train,total,0.5149309039115906
700,2,train,eikonal,0.13224749267101288
700,2,train,render,0.6914002895355225
700,2,train,total,0.7046250104904175
800,2,train,eikonal,0.05721108615398407
800,2,train,render,0.20663242042064667
800,2,train,total,0.21235352754592896
900,3,train,eikonal,0.15250639617443085
900,3,train,render,0.22958287596702576
900,3,train,total,0.24483351409435272
1000,3,train,eikonal,0.06315857172012329
1000,3,train,render,0.49165207147598267
1000,3,train,total,0.497967928647995
1100,3,train,eikonal,0.0388328954577446
1100,3,train,render,0.44852355122566223
1100,3,train,total,0.4524068534374237
1200,4,train,eikonal,0.03633302077651024
1200,4,train,render,0.5382384061813354
1200,4,train,total,0.5418717265129089
1300,4,train,eikonal,0.05163406953215599
1300,4,train,render,0.18162868916988373
1300,4,train,total,0.18679209053516388
1400,4,train,eikonal,0.036016225814819336
1400,4,train,render,0.376583456993103
1400,4,train,total,0.380185067653656
1500,5,train,eikonal,0.034399598836898804
1500,5,train,render,0.5939297080039978
1500,5,train,total,0.5973696708679199
1600,5,train,eikonal,0.05966940149664879
1600,5,train,render,0.32709893584251404
1600,5,train,total,0.33306586742401123
1700,5,train,eikonal,0.04351760447025299
1700,5,train,render,0.16547566652297974
1700,5,train,total,0.1698274314403534
1800,6,train,eikonal,0.034906819462776184
1800,6,train,render,0.4501899480819702
1800,6,train,total,0.4536806344985962
1900,6,train,eikonal,0.033175624907016754
1900,6,train,render,0.4361267387866974
1900,6,train,total,0.43944430351257324
2000,7,train,eikonal,0.027999170124530792
2000,7,train,render,0.5762898921966553
2000,7,train,total,0.5790898203849792
2000,7,val,eikonal,0.027999170124530792
2000,7,val,render,0.16560225188732147
2000,7,val,total,0.16840216517448425
