iteration,epoch,mode,loss,value
0,0,val,render,0.09274518489837646
0,0,val,total,0.09274518489837646
0,0,val,render,0.09477901458740234
0,0,val,total,0.09477901458740234
100,0,train,eikonal,0.052312154322862625
100,0,train,render,0.28220608830451965
100,0,train,total,0.2874372899532318
200,1,train,eikonal,0.01730961725115776
200,1,train,render,0.2844129204750061
200,1,train,total,0.28614386916160583
300,1,train,eikonal,0.013342288322746754
300,1,train,render,0.2417462170124054
300,1,train,total,0.24308045208454132
400,2,train,eikonal,0.0051109869964420795
400,2,train,render,0.2200937569141388
400,2,train,total,0.22060485184192657
500,2,train,eikonal,0.011246606707572937
500,2,train,render,0.25074100494384766
500,2,train,total,0.2518656551837921
600,3,train,eikonal,0.0028318767435848713
600,3,train,render,0.25740885734558105
600,3,train,total,0.25769203901290894
700,4,train,eikonal,0.001836113166064024
700,4,train,render,0.21193668246269226
700,4,train,total,0.21212029457092285
800,4,train,eikonal,0.0012400525156408548
800,4,train,render,0.23928053677082062
800,4,train,total,0.23940454423427582
900,5,train,eikonal,0.0012640843633562326
900,5,train,render,0.22222374379634857
900,5,train,total,0.22235015034675598
1000,5,train,eikonal,0.0010583355324342847
1000,5,train,render,0.23356300592422485
1000,5,train,total,0.23366883397102356
1100,6,train,eikonal,0.0008536922978237271
1100,6,train,render,0.2294435352087021
1100,6,train,total,0.22952890396118164
1200,7,train,eikonal,0.0009047335479408503
1200,7,train,render,0.30066943168640137
1200,7,train,total,0.3007599115371704
1300,7,train,eikonal,0.0014846142148599029
1300,7,train,render,0.23251184821128845
1300,7,train,total,0.23266030848026276
1400,8,train,eikonal,0.0014257158618420362
1400,8,train,render,0.34760093688964844
1400,8,train,total,0.34774351119995117
1500,8,train,eikonal,0.0010981953237205744
1500,8,train,render,0.34711360931396484
1500,8,train,total,0.3472234308719635
1600,9,train,eikonal,0.0021441038697957993
1600,9,train,render,0.20961561799049377
1600,9,train,total,0.20983003079891205
1700,10,train,eikonal,0.0017315034056082368
1700,10,train,render,0.21304410696029663
